[s],CH1[V]
-9.77960e-04,8.21516E-01
-9.77920e-04,8.21609E-01
-9.77880e-04,8.21609E-01
-9.77840e-04,8.21703E-01
-9.77800e-04,8.21828E-01
-9.77760e-04,8.21891E-01
-9.77720e-04,8.21984E-01
-9.77680e-04,8.22047E-01
-9.77640e-04,8.22172E-01
-9.77600e-04,8.22266E-01
-9.77560e-04,8.22359E-01
-9.77520e-04,8.22453E-01
-9.77480e-04,8.22516E-01
-9.77440e-04,8.22547E-01
-9.77400e-04,8.22578E-01
-9.77360e-04,8.22641E-01
-9.77320e-04,8.22734E-01
-9.77280e-04,8.22859E-01
-9.77240e-04,8.22953E-01
-9.77200e-04,8.23016E-01
-9.77160e-04,8.23078E-01
-9.77120e-04,8.23203E-01
-9.77080e-04,8.23234E-01
-9.77040e-04,8.23297E-01
-9.77000e-04,8.23328E-01
-9.76960e-04,8.23422E-01
-9.76920e-04,8.23516E-01
-9.76880e-04,8.23609E-01
-9.76840e-04,8.23703E-01
-9.76800e-04,8.23828E-01
-9.76760e-04,8.23828E-01
-9.76720e-04,8.23953E-01
-9.76680e-04,8.24078E-01
-9.76640e-04,8.24109E-01
-9.76600e-04,8.24172E-01
-9.76560e-04,8.24266E-01
-9.76520e-04,8.24328E-01
-9.76480e-04,8.24328E-01
-9.76440e-04,8.24422E-01
-9.76400e-04,8.24516E-01
-9.76360e-04,8.24547E-01
-9.76320e-04,8.24609E-01
-9.76280e-04,8.24672E-01
-9.76240e-04,8.24734E-01
-9.76200e-04,8.24734E-01
-9.76160e-04,8.24797E-01
-9.76120e-04,8.24859E-01
-9.76080e-04,8.24953E-01
-9.76040e-04,8.24984E-01
-9.76000e-04,8.25109E-01
-9.75960e-04,8.25172E-01
-9.75920e-04,8.25266E-01
-9.75880e-04,8.25328E-01
-9.75840e-04,8.25391E-01
-9.75800e-04,8.25484E-01
-9.75760e-04,8.25484E-01
-9.75720e-04,8.25578E-01
-9.75680e-04,8.25641E-01
-9.75640e-04,8.25641E-01
-9.75600e-04,8.25766E-01
-9.75560e-04,8.25797E-01
-9.75520e-04,8.25859E-01
-9.75480e-04,8.25891E-01
-9.75440e-04,8.25891E-01
-9.75400e-04,8.25891E-01
-9.75360e-04,8.25953E-01
-9.75320e-04,8.25984E-01
-9.75280e-04,8.26078E-01
-9.75240e-04,8.26203E-01
-9.75200e-04,8.26266E-01
-9.75160e-04,8.26359E-01
-9.75120e-04,8.26422E-01
-9.75080e-04,8.26484E-01
-9.75040e-04,8.26484E-01
-9.75000e-04,8.26578E-01
-9.74960e-04,8.26609E-01
-9.74920e-04,8.26703E-01
-9.74880e-04,8.26766E-01
-9.74840e-04,8.26859E-01
-9.74800e-04,8.26922E-01
-9.74760e-04,8.26891E-01
-9.74720e-04,8.26891E-01
-9.74680e-04,8.27016E-01
-9.74640e-04,8.27016E-01
-9.74600e-04,8.27109E-01
-9.74560e-04,8.27234E-01
-9.74520e-04,8.27297E-01
-9.74480e-04,8.27453E-01
-9.74440e-04,8.27516E-01
-9.74400e-04,8.27578E-01
-9.74360e-04,8.27609E-01
-9.74320e-04,8.27703E-01
-9.74280e-04,8.27766E-01
-9.74240e-04,8.27828E-01
-9.74200e-04,8.27922E-01
-9.74160e-04,8.28047E-01
-9.74120e-04,8.28078E-01
-9.74080e-04,8.28172E-01
-9.74040e-04,8.28172E-01
-9.74000e-04,8.28172E-01
-9.73960e-04,8.28266E-01
-9.73920e-04,8.28297E-01
-9.73880e-04,8.28422E-01
-9.73840e-04,8.28422E-01
-9.73800e-04,8.28516E-01
-9.73760e-04,8.28609E-01
-9.73720e-04,8.28672E-01
-9.73680e-04,8.28734E-01
-9.73640e-04,8.28766E-01
-9.73600e-04,8.28797E-01
-9.73560e-04,8.28891E-01
-9.73520e-04,8.29016E-01
-9.73480e-04,8.29078E-01
-9.73440e-04,8.29172E-01
-9.73400e-04,8.29297E-01
-9.73360e-04,8.29359E-01
-9.73320e-04,8.29484E-01
-9.73280e-04,8.29641E-01
-9.73240e-04,8.28797E-01
-9.73200e-04,8.28359E-01
-9.73160e-04,8.29297E-01
-9.73120e-04,8.29484E-01
-9.73080e-04,8.29047E-01
-9.73040e-04,8.28922E-01
-9.73000e-04,8.29422E-01
-9.72960e-04,8.29172E-01
-9.72920e-04,8.29141E-01
-9.72880e-04,8.29391E-01
-9.72840e-04,8.29422E-01
-9.72800e-04,8.29391E-01
-9.72760e-04,8.29516E-01
-9.72720e-04,8.29672E-01
-9.72680e-04,8.29734E-01
-9.72640e-04,8.29828E-01
-9.72600e-04,8.29922E-01
-9.72560e-04,8.30016E-01
-9.72520e-04,8.30078E-01
-9.72480e-04,8.30172E-01
-9.72440e-04,8.30266E-01
-9.72400e-04,8.30297E-01
-9.72360e-04,8.30516E-01
-9.72320e-04,8.30609E-01
-9.72280e-04,8.30641E-01
-9.72240e-04,8.30766E-01
-9.72200e-04,8.30766E-01
-9.72160e-04,8.30828E-01
-9.72120e-04,8.30828E-01
-9.72080e-04,8.30922E-01
-9.72040e-04,8.30984E-01
-9.72000e-04,8.30984E-01
-9.71960e-04,8.31109E-01
-9.71920e-04,8.31141E-01
-9.71880e-04,8.31266E-01
-9.71840e-04,8.31391E-01
-9.71800e-04,8.31484E-01
-9.71760e-04,8.31547E-01
-9.71720e-04,8.31609E-01
-9.71680e-04,8.31672E-01
-9.71640e-04,8.31766E-01
-9.71600e-04,8.31797E-01
-9.71560e-04,8.31859E-01
-9.71520e-04,8.31922E-01
-9.71480e-04,8.31984E-01
-9.71440e-04,8.31359E-01
-9.71400e-04,8.30766E-01
-9.71360e-04,8.31578E-01
-9.71320e-04,8.32609E-01
-9.71280e-04,8.32672E-01
-9.71240e-04,8.32172E-01
-9.71200e-04,8.32359E-01
-9.71160e-04,8.32547E-01
-9.71120e-04,8.32422E-01
-9.71080e-04,8.32359E-01
-9.71040e-04,8.32672E-01
-9.71000e-04,8.32797E-01
-9.70960e-04,8.32797E-01
-9.70920e-04,8.32859E-01
-9.70880e-04,8.33016E-01
-9.70840e-04,8.33078E-01
-9.70800e-04,8.33141E-01
-9.70760e-04,8.33172E-01
-9.70720e-04,8.33266E-01
-9.70680e-04,8.33297E-01
-9.70640e-04,8.33297E-01
-9.70600e-04,8.33328E-01
-9.70560e-04,8.33391E-01
-9.70520e-04,8.33422E-01
-9.70480e-04,8.33516E-01
-9.70440e-04,8.33609E-01
-9.70400e-04,8.33609E-01
-9.70360e-04,8.33641E-01
-9.70320e-04,8.33672E-01
-9.70280e-04,8.33734E-01
-9.70240e-04,8.33859E-01
-9.70200e-04,8.33953E-01
-9.70160e-04,8.34141E-01
-9.70120e-04,8.34266E-01
-9.70080e-04,8.34391E-01
-9.70040e-04,8.34422E-01
-9.70000e-04,8.34516E-01
-9.69960e-04,8.34578E-01
-9.69920e-04,8.34609E-01
-9.69880e-04,8.34641E-01
-9.69840e-04,8.34703E-01
-9.69800e-04,8.34734E-01
-9.69760e-04,8.34797E-01
-9.69720e-04,8.34953E-01
-9.69680e-04,8.34984E-01
-9.69640e-04,8.35078E-01
-9.69600e-04,8.35141E-01
-9.69560e-04,8.35141E-01
-9.69520e-04,8.35234E-01
-9.69480e-04,8.35234E-01
-9.69440e-04,8.35359E-01
-9.69400e-04,8.35484E-01
-9.69360e-04,8.35672E-01
-9.69320e-04,8.35734E-01
-9.69280e-04,8.35766E-01
-9.69240e-04,8.35859E-01
-9.69200e-04,8.35953E-01
-9.69160e-04,8.36016E-01
-9.69120e-04,8.36109E-01
-9.69080e-04,8.36203E-01
-9.69040e-04,8.36297E-01
-9.69000e-04,8.36453E-01
-9.68960e-04,8.36547E-01
-9.68920e-04,8.36641E-01
-9.68880e-04,8.36703E-01
-9.68840e-04,8.36828E-01
-9.68800e-04,8.36891E-01
-9.68760e-04,8.36922E-01
-9.68720e-04,8.37047E-01
-9.68680e-04,8.37109E-01
-9.68640e-04,8.37141E-01
-9.68600e-04,8.37172E-01
-9.68560e-04,8.37203E-01
-9.68520e-04,8.37328E-01
-9.68480e-04,8.37453E-01
-9.68440e-04,8.37453E-01
-9.68400e-04,8.37547E-01
-9.68360e-04,8.37609E-01
-9.68320e-04,8.37703E-01
-9.68280e-04,8.37734E-01
-9.68240e-04,8.37828E-01
-9.68200e-04,8.37922E-01
-9.68160e-04,8.37984E-01
-9.68120e-04,8.38078E-01
-9.68080e-04,8.38172E-01
-9.68040e-04,8.38266E-01
-9.68000e-04,8.38359E-01
-9.67960e-04,8.38391E-01
-9.67920e-04,8.38422E-01
-9.67880e-04,8.38516E-01
-9.67840e-04,8.38547E-01
-9.67800e-04,8.38703E-01
-9.67760e-04,8.38766E-01
-9.67720e-04,8.38797E-01
-9.67680e-04,8.38828E-01
-9.67640e-04,8.38891E-01
-9.67600e-04,8.39047E-01
-9.67560e-04,8.39078E-01
-9.67520e-04,8.39172E-01
-9.67480e-04,8.39297E-01
-9.67440e-04,8.39328E-01
-9.67400e-04,8.39391E-01
-9.67360e-04,8.39453E-01
-9.67320e-04,8.39547E-01
-9.67280e-04,8.39609E-01
-9.67240e-04,8.39609E-01
-9.67200e-04,8.40609E-01
-9.67160e-04,8.41141E-01
