#time	V(in1)	V(in2)	-I(R3)
1.544997672784316e-03	4.136302e+00	4.136863e+00	-5.613759e-07
1.566555184337957e-03	3.940326e+00	3.940871e+00	-5.446048e-07
1.588112695891598e-03	3.744350e+00	3.744880e+00	-5.300875e-07
1.609670207445240e-03	3.548374e+00	3.548892e+00	-5.178242e-07
1.631227718998881e-03	3.352398e+00	3.352906e+00	-5.078147e-07
1.652785230552522e-03	3.156421e+00	3.156921e+00	-5.000591e-07
1.699660230552522e-03	2.730289e+00	2.730772e+00	-4.837188e-07
1.701613355552522e-03	2.712535e+00	2.713108e+00	-5.720567e-07
1.703566480552522e-03	2.694813e+00	2.696446e+00	-1.632707e-06
1.704876695041392e-03	2.682954e+00	2.686995e+00	-4.041168e-06
1.705643766743209e-03	2.676001e+00	2.682491e+00	-6.489993e-06
1.706499592924022e-03	2.668234e+00	2.678092e+00	-9.857679e-06
1.707377494553030e-03	2.660271e+00	2.673947e+00	-1.367623e-05
1.708024474693868e-03	2.654396e+00	2.671091e+00	-1.669440e-05
1.708587158452296e-03	2.649289e+00	2.668739e+00	-1.944938e-05
1.709744552521403e-03	2.638782e+00	2.664204e+00	-2.542201e-05
1.710668129488647e-03	2.630397e+00	2.660831e+00	-3.043408e-05
1.711823921121312e-03	2.619903e+00	2.656821e+00	-3.691828e-05
1.712965375121708e-03	2.609539e+00	2.653086e+00	-4.354756e-05
1.714585852675728e-03	2.594826e+00	2.648107e+00	-5.328131e-05
1.716509469187552e-03	2.577361e+00	2.642557e+00	-6.519591e-05
1.720415719187552e-03	2.541904e+00	2.632277e+00	-9.037380e-05
1.726275094187552e-03	2.488754e+00	2.618715e+00	-1.299612e-04
1.732134469187552e-03	2.435713e+00	2.606720e+00	-1.710072e-04
1.736040719187552e-03	2.400535e+00	2.599394e+00	-1.988593e-04
1.737993844187552e-03	2.383106e+00	2.595917e+00	-2.128116e-04
1.739946969187552e-03	2.365943e+00	2.592579e+00	-2.266360e-04
1.741555473719157e-03	2.352283e+00	2.589980e+00	-2.376972e-04
1.743222549324459e-03	2.338691e+00	2.587436e+00	-2.487447e-04
1.743689696852368e-03	2.335006e+00	2.586757e+00	-2.517515e-04
1.743713964256415e-03	2.334817e+00	2.586721e+00	-2.519041e-04
1.743714722612791e-03	2.334817e+00	2.586720e+00	-2.519030e-04
1.743717376860109e-03	2.334843e+00	2.586718e+00	-2.518749e-04
1.743718893572862e-03	2.334857e+00	2.586718e+00	-2.518608e-04
1.743721926998368e-03	2.334882e+00	2.586718e+00	-2.518366e-04
1.743727993849380e-03	2.334922e+00	2.586721e+00	-2.517992e-04
1.743740127551403e-03	2.334978e+00	2.586730e+00	-2.517524e-04
1.743753206028108e-03	2.334990e+00	2.586736e+00	-2.517463e-04
1.743773654774570e-03	2.334914e+00	2.586732e+00	-2.518178e-04
1.743797283663463e-03	2.334709e+00	2.586703e+00	-2.519937e-04
1.743844541441248e-03	2.334097e+00	2.586600e+00	-2.525029e-04
1.743895344472831e-03	2.333298e+00	2.586459e+00	-2.531605e-04
1.743958575942200e-03	2.332207e+00	2.586261e+00	-2.540538e-04
1.744034467862325e-03	2.330890e+00	2.586020e+00	-2.551299e-04
1.744143801757933e-03	2.329101e+00	2.585690e+00	-2.565898e-04
1.744268865499836e-03	2.327293e+00	2.585358e+00	-2.580646e-04
1.744437897401664e-03	2.325198e+00	2.584973e+00	-2.597748e-04
1.744557416042400e-03	2.323911e+00	2.584738e+00	-2.608262e-04
1.744857005661407e-03	2.321059e+00	2.584221e+00	-2.631614e-04
1.745834843814727e-03	2.311933e+00	2.582587e+00	-2.706540e-04
1.746812681968048e-03	2.302844e+00	2.580976e+00	-2.781324e-04
1.747790520121368e-03	2.293792e+00	2.579389e+00	-2.855968e-04
1.748768358274688e-03	2.284779e+00	2.577826e+00	-2.930470e-04
1.749746196428008e-03	2.275803e+00	2.576286e+00	-3.004832e-04
1.750724034581328e-03	2.266864e+00	2.574769e+00	-3.079052e-04
1.751701872734648e-03	2.257963e+00	2.573276e+00	-3.153132e-04
1.758398301306077e-03	2.196990e+00	2.563545e+00	-3.665551e-04
1.765094729877506e-03	2.136039e+00	2.554216e+00	-4.181771e-04
1.771791158448934e-03	2.075109e+00	2.545289e+00	-4.701791e-04
1.778487587020363e-03	2.014201e+00	2.536763e+00	-5.225611e-04
1.785184015591791e-03	1.953315e+00	2.528638e+00	-5.753231e-04
1.791880444163220e-03	1.892450e+00	2.520915e+00	-6.284651e-04
1.798576872734649e-03	1.831607e+00	2.513594e+00	-6.819871e-04
1.827302927760825e-03	1.570502e+00	2.485464e+00	-9.149623e-04
1.856028982787001e-03	1.309396e+00	2.459107e+00	-1.149711e-03
1.884755037813177e-03	1.048290e+00	2.434524e+00	-1.386235e-03
1.913481092839354e-03	7.871830e-01	2.411715e+00	-1.624532e-03
1.942207147865530e-03	5.260757e-01	2.390678e+00	-1.864603e-03
1.970933202891706e-03	2.649678e-01	2.371415e+00	-2.106448e-03
1.999659257917882e-03	3.859298e-03	2.353926e+00	-2.350067e-03
1.999811795118947e-03	2.472789e-03	2.353831e+00	-2.351358e-03
2.000000000000000e-03	7.620744e-04	2.353714e+00	-2.352951e-03
