#time	V(in1)	V(in2)	I(R3)
1.083362413485753e-03	-1.879532e+00	-1.879572e+00	4.038594e-08
1.108948737707691e-03	-1.507429e+00	-1.507472e+00	4.290505e-08
1.134535061929628e-03	-1.135351e+00	-1.135397e+00	4.605188e-08
1.160121386151566e-03	-7.632995e-01	-7.633493e-01	4.982643e-08
1.185707710373504e-03	-3.912733e-01	-3.913276e-01	5.422871e-08
1.199379585373504e-03	-1.927332e-01	-1.927919e-01	5.866884e-08
1.199471138107879e-03	-1.913348e-01	-1.913999e-01	6.515057e-08
1.199547063305669e-03	-1.902274e-01	-1.902877e-01	6.029041e-08
1.199622988503460e-03	-1.891467e-01	-1.892032e-01	5.648732e-08
1.199698913701250e-03	-1.880928e-01	-1.881465e-01	5.374131e-08
1.199774838899041e-03	-1.870656e-01	-1.871176e-01	5.205236e-08
1.199850764096831e-03	-1.860651e-01	-1.861165e-01	5.142048e-08
1.199926689294621e-03	-1.850914e-01	-1.851432e-01	5.184567e-08
1.200002614492412e-03	-1.841444e-01	-1.841977e-01	5.332793e-08
1.200141046227552e-03	-1.822610e-01	-1.823173e-01	5.633087e-08
1.200522420107724e-03	-1.766673e-01	-1.767290e-01	6.171933e-08
1.201139740327858e-03	-1.675562e-01	-1.676151e-01	5.890219e-08
1.202101005818456e-03	-1.535701e-01	-1.536299e-01	5.983301e-08
1.203062271309054e-03	-1.395738e-01	-1.396344e-01	6.067970e-08
1.204023536799652e-03	-1.255672e-01	-1.256287e-01	6.144226e-08
1.204984802290250e-03	-1.115505e-01	-1.116126e-01	6.212070e-08
1.205946067780847e-03	-9.752357e-02	-9.758629e-02	6.271500e-08
1.206907333271445e-03	-8.348646e-02	-8.354969e-02	6.322519e-08
1.207868598762043e-03	-6.943916e-02	-6.950281e-02	6.365124e-08
1.209821723762043e-03	-4.095826e-02	-4.102268e-02	6.442073e-08
1.211774848762043e-03	-1.248593e-02	-1.255198e-02	6.605139e-08
1.213727973762043e-03	1.597785e-02	1.590931e-02	6.854322e-08
1.215681098762043e-03	4.443306e-02	4.436117e-02	7.189621e-08
1.217634223762043e-03	7.287971e-02	7.280360e-02	7.611036e-08
1.219587348762043e-03	1.013178e-01	1.012366e-01	8.118568e-08
1.221540473762043e-03	1.297473e-01	1.296602e-01	8.712217e-08
