[s],MA1[]
-9.82440e-04,5.96271E-02
-9.82400e-04,5.96913E-02
-9.82360e-04,5.96556E-02
-9.82320e-04,5.96913E-02
-9.82280e-04,5.97554E-02
-9.82240e-04,5.98481E-02
-9.82200e-04,5.98481E-02
-9.82160e-04,5.98125E-02
-9.82120e-04,5.98766E-02
-9.82080e-04,5.98481E-02
-9.82040e-04,5.99122E-02
-9.82000e-04,5.99693E-02
-9.81960e-04,5.99408E-02
-9.81920e-04,6.00334E-02
-9.81880e-04,6.00334E-02
-9.81840e-04,6.00619E-02
-9.81800e-04,6.00619E-02
-9.81760e-04,6.00976E-02
-9.81720e-04,6.02187E-02
-9.81680e-04,6.02187E-02
-9.81640e-04,6.02544E-02
-9.81600e-04,6.03185E-02
-9.81560e-04,6.04112E-02
-9.81520e-04,6.04682E-02
-9.81480e-04,6.04112E-02
-9.81440e-04,6.04112E-02
-9.81400e-04,6.04682E-02
-9.81360e-04,6.04682E-02
-9.81320e-04,6.05324E-02
-9.81280e-04,6.05680E-02
-9.81240e-04,6.05965E-02
-9.81200e-04,6.05965E-02
-9.81160e-04,6.06892E-02
-9.81120e-04,6.07818E-02
-9.81080e-04,6.08175E-02
-9.81040e-04,6.08745E-02
-9.81000e-04,6.09101E-02
-9.80960e-04,6.09743E-02
-9.80920e-04,6.10313E-02
-9.80880e-04,6.10313E-02
-9.80840e-04,6.11596E-02
-9.80800e-04,6.13164E-02
-9.80760e-04,6.13806E-02
-9.80720e-04,6.14091E-02
-9.80680e-04,6.14091E-02
-9.80640e-04,6.15018E-02
-9.80600e-04,6.15944E-02
-9.80560e-04,6.16301E-02
-9.80520e-04,6.15944E-02
-9.80480e-04,6.16301E-02
-9.80440e-04,6.16871E-02
-9.80400e-04,6.18439E-02
-9.80360e-04,6.18439E-02
-9.80320e-04,6.20007E-02
-9.80280e-04,6.19722E-02
-9.80240e-04,6.20007E-02
-9.80200e-04,6.20364E-02
-9.80160e-04,6.20934E-02
-9.80120e-04,6.21932E-02
-9.80080e-04,6.22502E-02
-9.80040e-04,6.22858E-02
-9.80000e-04,6.23500E-02
-9.79960e-04,6.23500E-02
-9.79920e-04,6.23500E-02
-9.79880e-04,6.24712E-02
-9.79840e-04,6.24426E-02
-9.79800e-04,6.24426E-02
-9.79760e-04,6.24712E-02
-9.79720e-04,6.24426E-02
-9.79680e-04,6.24426E-02
-9.79640e-04,6.25353E-02
-9.79600e-04,6.25995E-02
-9.79560e-04,6.25638E-02
-9.79520e-04,6.25638E-02
