[s],MA1[],CH1[V],CH2[V]
-0.00098988,0.103126,,
-0.00098984,0.103094,,
-0.0009898,0.10319,,
-0.00098976,0.10328599999999999,,
-0.00098972,0.10331800000000001,,
-0.00098968,0.10335,,
-0.00098964,0.103414,,
-0.0009896,0.10343800000000002,,
-0.00098956,0.10347,,
-0.00098952,0.103566,,
-0.00098948,0.103566,,
-0.00098944,0.103566,,
-0.0009894,0.10366199999999999,,
-0.00098936,0.103726,,
-0.00098932,0.103814,,
-0.00098928,0.103942,,
-0.00098924,0.103974,,
-0.0009892,0.10407000000000001,,
-0.00098916,0.10415799999999999,,
-0.00098912,0.10415799999999999,,
-0.00098908,0.10415799999999999,,
-0.00098904,0.10415799999999999,,
-0.000989,0.10419,,
-0.00098896,0.10422200000000001,,
-0.00098892,0.10438299999999999,,
-0.00098888,0.10447100000000001,,
-0.00098884,0.10463099999999999,,
-0.0009888,0.10463099999999999,,
-0.00098876,0.104727,,
-0.00098872,0.104815,,
-0.00098868,0.10484700000000001,,
-0.00098864,0.10484700000000001,,
-0.0009886,0.10484700000000001,,
-0.00098856,0.10491099999999999,,
-0.00098852,0.10494300000000001,,
-0.00098848,0.10503900000000001,,
-0.00098844,0.10509500000000001,,
-0.0009884,0.10515899999999999,,
-0.00098836,0.10528699999999999,,
-0.00098832,0.105255,,
-0.00098828,0.10538299999999999,,
-0.00098824,0.10547100000000001,,
-0.0009882,0.105439,,
-0.00098816,0.105503,,
-0.00098812,0.10556700000000001,,
-0.00098808,0.105599,,
-0.00098804,0.105599,,
-0.000988,0.10569500000000001,,
-0.00098796,0.105815,,
-0.00098792,0.105815,,
-0.00098788,0.105815,,
-0.00098784,0.105847,,
-0.0009878,0.105815,,
-0.00098776,0.10578299999999999,,
-0.00098772,0.10569500000000001,,
-0.00098768,0.10438299999999999,,
-0.00098764,0.104439,,
-0.0009876,0.10547100000000001,,
-0.00098756,0.10528699999999999,,
-0.00098752,0.10506300000000002,,
-0.00098748,0.105351,,
-0.00098744,0.105599,,
-0.0009874,0.10538299999999999,,
-0.00098736,0.10538299999999999,,
-0.00098732,0.10553499999999999,,
-0.00098728,0.105439,,
-0.00098724,0.10547100000000001,,
-0.0009872,0.10556700000000001,,
-0.00098716,0.105663,,
-0.00098712,0.105663,,
-0.00098708,0.10563099999999999,,
-0.00098704,0.10569500000000001,,
-0.000987,0.10571900000000001,,
-0.00098696,0.105847,,
-0.00098692,0.105847,,
-0.00098688,0.105847,,
-0.00098684,0.10591099999999999,,
-0.0009868,0.10600699999999999,,
-0.00098676,0.10603900000000001,,
-0.00098672,0.106063,,
-0.00098668,0.10609500000000001,,
-0.00098664,0.106223,,
-0.0009866,0.10628699999999999,,
-0.00098656,0.106375,,
-0.00098652,0.10647100000000001,,
-0.00098648,0.10653499999999999,,
-0.00098644,0.10653499999999999,,
-0.0009864,0.106599,,
-0.00098636,0.106599,,
-0.00098632,0.10656700000000001,,
-0.00098628,0.10656700000000001,,
-0.00098624,0.10666300000000001,,
-0.0009862,0.10663099999999999,,
-0.00098616,0.10663099999999999,,
-0.00098612,0.10663099999999999,,
-0.00098608,0.106695,,
-0.00098604,0.106752,,
-0.000986,0.10678399999999999,,
-0.00098596,0.10681600000000001,,
-0.00098592,0.10700799999999999,,
-0.00098588,0.107224,,
-0.00098584,0.10647100000000001,,
-0.0009858,0.10647100000000001,,
-0.00098576,0.10732,,
-0.00098572,0.10740799999999999,,
-0.00098568,0.10703199999999999,,
-0.00098564,0.107096,,
-0.0009856,0.10732,,
-0.00098556,0.107224,,
-0.00098552,0.10719200000000001,,
-0.00098548,0.10732,,
-0.00098544,0.10740799999999999,,
-0.0009854,0.107376,,
-0.00098536,0.107352,,
-0.00098532,0.10753599999999999,,
-0.00098528,0.10756800000000001,,
-0.00098524,0.10763199999999999,,
-0.0009852,0.10772000000000001,,
-0.00098516,0.107848,,
-0.00098512,0.107848,,
