#time	V(in1)	V(in2)	I(R3)
7.688233005387086e-04	2.101730e+00	2.036030e+00	6.569964e-05
7.707764255387086e-04	2.083981e+00	2.032007e+00	5.197389e-05
7.727295505387086e-04	2.066230e+00	2.027544e+00	3.868582e-05
7.746826755387086e-04	2.048474e+00	2.022447e+00	2.602745e-05
7.766358005387086e-04	2.030708e+00	2.016294e+00	1.441385e-05
7.785889255387086e-04	2.012908e+00	2.008195e+00	4.712200e-06
7.799270971026805e-04	2.000665e+00	1.999928e+00	7.366633e-07
7.812953571267278e-04	1.988147e+00	1.988534e+00	-3.869673e-07
7.818524681101071e-04	1.983094e+00	1.983480e+00	-3.865613e-07
7.826235398848527e-04	1.976080e+00	1.976472e+00	-3.924517e-07
7.828351971675624e-04	1.974154e+00	1.974542e+00	-3.882726e-07
7.834078155600834e-04	1.968953e+00	1.969342e+00	-3.898301e-07
7.839804339526043e-04	1.963751e+00	1.964142e+00	-3.910509e-07
7.845530523451253e-04	1.958547e+00	1.958939e+00	-3.919351e-07
7.851256707376463e-04	1.953343e+00	1.953735e+00	-3.924825e-07
7.856982891301673e-04	1.948137e+00	1.948530e+00	-3.926934e-07
7.862709075226882e-04	1.942931e+00	1.943324e+00	-3.925675e-07
7.868435259152092e-04	1.937723e+00	1.938115e+00	-3.921050e-07
8.080488830580664e-04	1.744949e+00	1.745347e+00	-3.980599e-07
8.292542402009236e-04	1.552177e+00	1.552583e+00	-4.058149e-07
8.504595973437808e-04	1.359407e+00	1.359823e+00	-4.153702e-07
8.716649544866379e-04	1.166640e+00	1.167066e+00	-4.267256e-07
8.928703116294950e-04	9.738741e-01	9.743139e-01	-4.398813e-07
9.140756687723523e-04	7.811107e-01	7.815656e-01	-4.548371e-07
9.352810259152094e-04	5.883495e-01	5.888212e-01	-4.715931e-07
9.436515616294951e-04	5.122575e-01	5.127366e-01	-4.791514e-07
9.520220973437808e-04	4.361722e-01	4.366608e-01	-4.885738e-07
9.603926330580665e-04	3.600938e-01	3.605937e-01	-4.998604e-07
9.687631687723522e-04	2.840222e-01	2.845352e-01	-5.130112e-07
9.771337044866379e-04	2.079574e-01	2.084854e-01	-5.280262e-07
9.855042402009237e-04	1.318995e-01	1.324444e-01	-5.449054e-07
9.938747759152093e-04	5.584835e-02	5.641200e-02	-5.636488e-07
1.000000000000000e-03	2.239166e-04	8.051665e-04	-5.812499e-07
1.000008011259598e-03	1.512208e-04	7.324636e-04	-5.812428e-07
1.000020101858131e-03	3.665201e-05	6.207760e-04	-5.841240e-07
1.000032192456665e-03	-7.213413e-05	5.109569e-04	-5.830910e-07
1.000044283055198e-03	-1.751377e-04	4.030062e-04	-5.781439e-07
1.000056373653732e-03	-2.723586e-04	2.969240e-04	-5.692826e-07
1.000068464252266e-03	-3.637969e-04	1.927101e-04	-5.565071e-07
1.000080554850799e-03	-4.494526e-04	9.036475e-05	-5.398174e-07
1.000092645449333e-03	-5.293257e-04	-1.011220e-05	-5.192136e-07
1.000133450928461e-03	-7.413779e-04	-3.085211e-04	-4.328568e-07
1.000177416794904e-03	-8.731922e-04	-5.574840e-04	-3.157081e-07
1.000236941933711e-03	-8.745174e-04	-7.446298e-04	-1.298877e-07
1.000309520075713e-03	-6.095310e-04	-7.225668e-04	1.130358e-07
1.000402028215996e-03	9.895041e-05	-3.143377e-04	4.132881e-07
1.000496598301982e-03	1.168056e-03	4.940279e-04	6.740283e-07
1.000593220065994e-03	2.519270e-03	1.657838e-03	8.614324e-07
1.000694798178975e-03	4.067219e-03	3.106885e-03	9.603340e-07
1.000795870933237e-03	5.600424e-03	4.632456e-03	9.679693e-07
1.000887372752230e-03	6.893428e-03	5.981390e-03	9.120377e-07
1.000975001271664e-03	7.995863e-03	7.173602e-03	8.222603e-07
1.001061286928392e-03	8.946745e-03	8.226762e-03	7.199831e-07
1.001124286103122e-03	9.558436e-03	8.912661e-03	6.457757e-07
1.001172564145603e-03	9.977970e-03	9.383927e-03	5.940432e-07
1.001228874865398e-03	1.042647e-02	9.883914e-03	5.425533e-07
1.001288080063600e-03	1.086643e-02	1.036630e-02	5.001276e-07
1.001359211065549e-03	1.136915e-02	1.090316e-02	4.659845e-07
1.001438260240507e-03	1.191834e-02	1.146979e-02	4.485491e-07
1.001532939832999e-03	1.259191e-02	1.214004e-02	4.518674e-07
1.001641053228677e-03	1.341322e-02	1.293513e-02	4.780838e-07
1.001775532342775e-03	1.453525e-02	1.401017e-02	5.250743e-07
1.001956612749783e-03	1.617882e-02	1.559305e-02	5.857725e-07
1.002077238613655e-03	1.733596e-02	1.672346e-02	6.125007e-07
1.002202666220604e-03	1.856389e-02	1.794316e-02	6.207308e-07
1.002372564349025e-03	2.020620e-02	1.959521e-02	6.109916e-07
1.002744946060239e-03	2.362710e-02	2.305831e-02	5.687874e-07
1.002906501627233e-03	2.506467e-02	2.450451e-02	5.601548e-07
1.003097109710367e-03	2.676040e-02	2.619868e-02	5.617193e-07
1.003612154492581e-03	3.143946e-02	3.086262e-02	5.768464e-07
1.004581647560657e-03	4.027688e-02	3.970867e-02	5.682090e-07
1.013604479485406e-03	1.223450e-01	1.217971e-01	5.478768e-07
1.022627311410155e-03	2.044065e-01	2.038769e-01	5.296041e-07
1.031650143334904e-03	2.864614e-01	2.859480e-01	5.133909e-07
1.040672975259653e-03	3.685097e-01	3.680104e-01	4.992371e-07
1.049695807184402e-03	4.505513e-01	4.500642e-01	4.871428e-07
1.058718639109150e-03	5.325863e-01	5.321092e-01	4.771079e-07
1.067741471033899e-03	6.146147e-01	6.141456e-01	4.691325e-07
1.089225846033899e-03	8.099393e-01	8.094867e-01	4.526194e-07
1.110710221033899e-03	1.005262e+00	1.004824e+00	4.378766e-07
1.132194596033899e-03	1.200583e+00	1.200158e+00	4.249042e-07
1.153678971033899e-03	1.395902e+00	1.395489e+00	4.137021e-07
1.175163346033899e-03	1.591220e+00	1.590815e+00	4.042705e-07
1.196647721033899e-03	1.786535e+00	1.786139e+00	3.966092e-07
1.218132096033899e-03	1.981849e+00	1.981458e+00	3.907183e-07
1.220085221033899e-03	1.999567e+00	1.998503e+00	1.063378e-06
1.221149633060085e-03	2.009172e+00	2.006193e+00	2.978599e-06
1.221947186920962e-03	2.016372e+00	2.010387e+00	5.985052e-06
1.222848073845865e-03	2.024542e+00	2.014123e+00	1.041882e-05
1.223455472954500e-03	2.030054e+00	2.016339e+00	1.371577e-05
1.224104033440053e-03	2.035944e+00	2.018482e+00	1.746210e-05
1.224788455698463e-03	2.042164e+00	2.020578e+00	2.158632e-05
1.225608941884238e-03	2.049620e+00	2.022889e+00	2.673124e-05
1.227037225412105e-03	2.062605e+00	2.026581e+00	3.602408e-05
1.228467840750999e-03	2.075613e+00	2.029957e+00	4.565535e-05
1.230333318155452e-03	2.092576e+00	2.033966e+00	5.860995e-05
1.234239568155452e-03	2.128100e+00	2.041393e+00	8.670710e-05
1.240098943155452e-03	2.181387e+00	2.050846e+00	1.305414e-04
1.246795371726881e-03	2.242283e+00	2.059662e+00	1.826213e-04
1.253491800298309e-03	2.303176e+00	2.067895e+00	2.352812e-04
1.260188228869738e-03	2.364068e+00	2.075547e+00	2.885208e-04
1.266884657441166e-03	2.424957e+00	2.082617e+00	3.423403e-04
1.273581086012595e-03	2.485844e+00	2.089104e+00	3.967396e-04
1.280277514584024e-03	2.546728e+00	2.095010e+00	4.517188e-04
1.286973943155452e-03	2.607611e+00	2.100333e+00	5.072778e-04
1.316270818155452e-03	2.873964e+00	2.120808e+00	7.531561e-04
1.345567693155452e-03	3.140314e+00	2.139767e+00	1.000547e-03
1.374864568155452e-03	3.406661e+00	2.157210e+00	1.249451e-03
1.404161443155452e-03	3.673005e+00	2.173138e+00	1.499867e-03
1.433458318155452e-03	3.939346e+00	2.187550e+00	1.751796e-03
1.462755193155452e-03	4.205685e+00	2.200447e+00	2.005238e-03
1.492052068155452e-03	4.472020e+00	2.211828e+00	2.260192e-03
1.499543366589552e-03	4.540121e+00	2.214857e+00	2.325264e-03
1.500000000000002e-03	4.544272e+00	2.215040e+00	2.329231e-03
1.500006612973987e-03	4.544333e+00	2.215043e+00	2.329289e-03
1.500032017984088e-03	4.544550e+00	2.215053e+00	2.329497e-03
1.500057422994190e-03	4.544703e+00	2.215060e+00	2.329643e-03
1.500082828004291e-03	4.544790e+00	2.215064e+00	2.329726e-03
1.500108233014393e-03	4.544812e+00	2.215065e+00	2.329747e-03
1.500133638024494e-03	4.544768e+00	2.215063e+00	2.329705e-03
1.500159043034596e-03	4.544659e+00	2.215059e+00	2.329601e-03
1.500184448044697e-03	4.544485e+00	2.215051e+00	2.329434e-03
1.500242178324557e-03	4.544003e+00	2.215030e+00	2.328973e-03
1.500361349802573e-03	4.542593e+00	2.214968e+00	2.327624e-03
1.500542245528008e-03	4.540414e+00	2.214872e+00	2.325543e-03
1.500739332602329e-03	4.538540e+00	2.214789e+00	2.323751e-03
1.500917142993312e-03	4.536984e+00	2.214720e+00	2.322264e-03
1.501094953384295e-03	4.535414e+00	2.214651e+00	2.320763e-03
1.501272763775278e-03	4.533830e+00	2.214581e+00	2.319249e-03
1.501450574166261e-03	4.532231e+00	2.214510e+00	2.317721e-03
1.501628384557244e-03	4.530618e+00	2.214438e+00	2.316179e-03
1.501806194948227e-03	4.528990e+00	2.214366e+00	2.314624e-03
1.501984005339210e-03	4.527349e+00	2.214294e+00	2.313055e-03
1.595129228471742e-03	3.680586e+00	2.172997e+00	1.507589e-03
1.615183636953884e-03	3.498275e+00	2.163554e+00	1.334722e-03
1.635238045436027e-03	3.315968e+00	2.152840e+00	1.163128e-03
1.655292453918170e-03	3.133664e+00	2.140856e+00	9.928080e-04
1.675346862400313e-03	2.951364e+00	2.127602e+00	8.237618e-04
1.695401270882456e-03	2.769067e+00	2.113077e+00	6.559895e-04
1.715455679364599e-03	2.586774e+00	2.097283e+00	4.894909e-04
1.735510087846742e-03	2.404484e+00	2.080218e+00	3.242662e-04
1.739695355703884e-03	2.366444e+00	2.076108e+00	2.903359e-04
1.743880623561027e-03	2.328405e+00	2.071612e+00	2.567926e-04
1.748065891418170e-03	2.290367e+00	2.066731e+00	2.236362e-04
1.752251159275313e-03	2.252330e+00	2.061464e+00	1.908668e-04
1.756436427132456e-03	2.214295e+00	2.055811e+00	1.584843e-04
1.760621694989599e-03	2.176260e+00	2.049772e+00	1.264887e-04
1.764806962846742e-03	2.138227e+00	2.043347e+00	9.488014e-05
1.768713212846742e-03	2.102730e+00	2.036247e+00	6.648387e-05
1.770666337846742e-03	2.084981e+00	2.032244e+00	5.273719e-05
1.772619462846742e-03	2.067230e+00	2.027810e+00	3.942043e-05
1.774572587846742e-03	2.049475e+00	2.022756e+00	2.671886e-05
1.776525712846742e-03	2.031710e+00	2.016684e+00	1.502621e-05
1.778478837846742e-03	2.013913e+00	2.008747e+00	5.166311e-06
1.779861899483852e-03	2.001265e+00	2.000276e+00	9.889819e-07
1.781511075604431e-03	1.986184e+00	1.986563e+00	-3.787881e-07
1.782113559548941e-03	1.980722e+00	1.981108e+00	-3.857861e-07
1.782550244738268e-03	1.976763e+00	1.977155e+00	-3.919821e-07
1.782911211828400e-03	1.973462e+00	1.973854e+00	-3.916525e-07
1.783114020486390e-03	1.971617e+00	1.972005e+00	-3.872433e-07
1.783775751420259e-03	1.965612e+00	1.966005e+00	-3.922612e-07
1.805649277070816e-03	1.766763e+00	1.767161e+00	-3.977185e-07
1.827522802721374e-03	1.567917e+00	1.568322e+00	-4.052094e-07
1.849396328371932e-03	1.369073e+00	1.369488e+00	-4.147339e-07
1.871269854022490e-03	1.170231e+00	1.170657e+00	-4.262921e-07
