0,1,2,3
0.171265,0.171265,0.171265,0.171265
0.171143,0.171143,0.171143,0.171143
0.171509,0.171509,0.171509,0.171509
0.171265,0.171265,0.171265,0.171265
0.171021,0.171021,0.171021,0.171021
0.171143,0.171143,0.171143,0.171143
0.171021,0.171021,0.171021,0.171021
0.170288,0.170288,0.170288,0.170288
0.169556,0.169556,0.169556,0.169556
0.169556,0.169556,0.169556,0.169556
0.169556,0.169556,0.169556,0.169556
0.170288,0.170288,0.170288,0.170288
0.1698,0.1698,0.1698,0.1698
0.169312,0.169312,0.169312,0.169312
0.169556,0.169556,0.169556,0.169556
0.167725,0.167725,0.167725,0.167725
0.167847,0.167847,0.167847,0.167847
0.167236,0.167236,0.167236,0.167236
0.167847,0.167847,0.167847,0.167847
0.167725,0.167725,0.167725,0.167725
0.16748,0.16748,0.16748,0.16748
0.167725,0.167725,0.167725,0.167725
0.167114,0.167114,0.167114,0.167114
0.165527,0.165527,0.165527,0.165527
0.165649,0.165649,0.165649,0.165649
0.166016,0.166016,0.166016,0.166016
0.165771,0.165771,0.165771,0.165771
0.165771,0.165771,0.165771,0.165771
0.165771,0.165771,0.165771,0.165771
0.165649,0.165649,0.165649,0.165649
0.164185,0.164185,0.164185,0.164185
0.163574,0.163574,0.163574,0.163574
0.16333,0.16333,0.16333,0.16333
0.163574,0.163574,0.163574,0.163574
0.163818,0.163818,0.163818,0.163818
0.163452,0.163452,0.163452,0.163452
0.163818,0.163818,0.163818,0.163818
0.163818,0.163818,0.163818,0.163818
0.161621,0.161621,0.161621,0.161621
0.161865,0.161865,0.161865,0.161865
0.161743,0.161743,0.161743,0.161743
0.161743,0.161743,0.161743,0.161743
0.161621,0.161621,0.161621,0.161621
0.161865,0.161865,0.161865,0.161865
0.161621,0.161621,0.161621,0.161621
0.160889,0.160889,0.160889,0.160889
0.159302,0.159302,0.159302,0.159302
0.159302,0.159302,0.159302,0.159302
0.159546,0.159546,0.159546,0.159546
0.159424,0.159424,0.159424,0.159424
0.15918,0.15918,0.15918,0.15918
0.159424,0.159424,0.159424,0.159424
0.15918,0.15918,0.15918,0.15918
0.157593,0.157593,0.157593,0.157593
0.157471,0.157471,0.157471,0.157471
0.157471,0.157471,0.157471,0.157471
0.157471,0.157471,0.157471,0.157471
0.15686,0.15686,0.15686,0.15686
0.157471,0.157471,0.157471,0.157471
0.157227,0.157227,0.157227,0.157227
0.157715,0.157715,0.157715,0.157715
0.155029,0.155029,0.155029,0.155029
0.155396,0.155396,0.155396,0.155396
0.155518,0.155518,0.155518,0.155518
0.155273,0.155273,0.155273,0.155273
0.155518,0.155518,0.155518,0.155518
0.15564,0.15564,0.15564,0.15564
0.155518,0.155518,0.155518,0.155518
0.154541,0.154541,0.154541,0.154541
0.154053,0.154053,0.154053,0.154053
0.154175,0.154175,0.154175,0.154175
0.153931,0.153931,0.153931,0.153931
0.153931,0.153931,0.153931,0.153931
0.154175,0.154175,0.154175,0.154175
0.153809,0.153809,0.153809,0.153809
0.153809,0.153809,0.153809,0.153809
0.151489,0.151489,0.151489,0.151489
0.151611,0.151611,0.151611,0.151611
0.151978,0.151978,0.151978,0.151978
0.151489,0.151489,0.151489,0.151489
0.151611,0.151611,0.151611,0.151611
0.151733,0.151733,0.151733,0.151733
0.151611,0.151611,0.151611,0.151611
0.151245,0.151245,0.151245,0.151245
0.149292,0.149292,0.149292,0.149292
0.149292,0.149292,0.149292,0.149292
0.149414,0.149414,0.149414,0.149414
0.149536,0.149536,0.149536,0.149536
0.149414,0.149414,0.149414,0.149414
0.148804,0.148804,0.148804,0.148804
0.14917,0.14917,0.14917,0.14917
0.147949,0.147949,0.147949,0.147949
0.147339,0.147339,0.147339,0.147339
0.146973,0.146973,0.146973,0.146973
0.147461,0.147461,0.147461,0.147461
0.147461,0.147461,0.147461,0.147461
0.147705,0.147705,0.147705,0.147705
0.147583,0.147583,0.147583,0.147583
0.147339,0.147339,0.147339,0.147339
0.14502,0.14502,0.14502,0.14502
0.145142,0.145142,0.145142,0.145142
0.145142,0.145142,0.145142,0.145142
0.145386,0.145386,0.145386,0.145386
0.145264,0.145264,0.145264,0.145264
0.145386,0.145386,0.145386,0.145386
0.145386,0.145386,0.145386,0.145386
0.144653,0.144653,0.144653,0.144653
0.143311,0.143311,0.143311,0.143311
0.143311,0.143311,0.143311,0.143311
0.142944,0.142944,0.142944,0.142944
0.142944,0.142944,0.142944,0.142944
0.143433,0.143433,0.143433,0.143433
0.143311,0.143311,0.143311,0.143311
0.142944,0.142944,0.142944,0.142944
0.141602,0.141602,0.141602,0.141602
0.141113,0.141113,0.141113,0.141113
0.141357,0.141357,0.141357,0.141357
0.141357,0.141357,0.141357,0.141357
0.141113,0.141113,0.141113,0.141113
0.140991,0.140991,0.140991,0.140991
